"data","valor"
"01/03/1998","128629"
"01/04/1998","138591"
"01/05/1998","154580"
"01/06/1998","129611"
"01/07/1998","135337"
"01/08/1998","146373"
"01/09/1998","124538"
"01/10/1998","108528"
"01/11/1998","111375"
"01/12/1998","127366"
"01/01/1999","93861"
"01/02/1999","57175"
"01/03/1999","105723"
"01/04/1999","129560"
"01/05/1999","101648"
"01/06/1999","103799"
"01/07/1999","115943"
"01/08/1999","121715"
"01/09/1999","107371"
"01/10/1999","81339"
"01/11/1999","80401"
"01/12/1999","78346"
"01/01/2000","83998"
"01/02/2000","98936"
"01/03/2000","92716"
"01/04/2000","113309"
"01/05/2000","123089"
"01/06/2000","115922"
"01/07/2000","121700"
"01/08/2000","134259"
"01/09/2000","120680"
"01/10/2000","130493"
"01/11/2000","125055"
"01/12/2000","151595"
"01/01/2001","123877"
"01/02/2001","118303"
"01/03/2001","155105"
"01/04/2001","139920"
"01/05/2001","152816"
"01/06/2001","133510"
"01/07/2001","138828"
"01/08/2001","139347"
"01/09/2001","108303"
"01/10/2001","125664"
"01/11/2001","126197"
"01/12/2001","125058"
"01/01/2002","114671"
"01/02/2002","97388"
"01/03/2002","123553"
"01/04/2002","138638"
"01/05/2002","122965"
"01/06/2002","107277"
"01/07/2002","123485"
"01/08/2002","126754"
"01/09/2002","129428"
"01/10/2002","137811"
"01/11/2002","118278"
"01/12/2002","126239"
"01/01/2003","117222"
"01/02/2003","117920"
"01/03/2003","102578"
"01/04/2003","108860"
"01/05/2003","106581"
"01/06/2003","99897"
"01/07/2003","113171"
"01/08/2003","99252"
"01/09/2003","125557"
"01/10/2003","140872"
"01/11/2003","130398"
"01/12/2003","169073"
"01/01/2004","107522"
"01/02/2004","104931"
"01/03/2004","141465"
"01/04/2004","115479"
"01/05/2004","123311"
"01/06/2004","130753"
"01/07/2004","133848"
"01/08/2004","130234"
"01/09/2004","137402"
"01/10/2004","137196"
"01/11/2004","138814"
"01/12/2004","177881"
"01/01/2005","106660"
"01/02/2005","114816"
"01/03/2005","149478"
"01/04/2005","137605"
"01/05/2005","143000"
"01/06/2005","148526"
